Hungary|428786|9982000|42.955920660
Estonia|36515|1291170|28.280551750
Switzerland|53652|7581000|7.077166601
Norway|29659|5009150|5.920964635
New Zealand|24077|4252277|5.662142894
United States|1709062|310232863|5.508965051
Luxembourg|2693|497538|5.412651898
Sweden|51584|9555893|5.398134952
Iceland|1645|308910|5.325175617
United Kingdom|304752|62348447|4.887884377
Denmark|24939|5484000|4.547592998
Netherlands|75198|16645000|4.517753079
Canada|143815|33679000|4.270168354
Finland|22097|5244000|4.213768116
Australia|90174|21515754|4.191068554
Germany|319787|81802257|3.909268665
Ireland|14956|4622917|3.235186788
Belgium|32486|10403000|3.122753052
Austria|24734|8205000|3.014503352
Greece|30541|11000000|2.776454545
Czech Republic|25370|10476000|2.421725850
Latvia|5216|2217969|2.351701038
France|151529|64768389|2.339551784
Slovenia|4331|2007000|2.157947185
Israel|14189|7353985|1.106882867
